borough,aggregate
Hammersmith and Fulham,Inner London
Lambeth,Inner London
Lewisham,Inner London
Tower Hamlets,Inner London
City of London,Inner London
Islington,Inner London
Newham,Inner London
Kensington and Chelsea,Inner London
Westminster,Inner London
Hackney,Inner London
Southwark,Inner London
Camden,Inner London
Wandsworth,Inner London
Haringey,Inner London
Greenwich,Outer London
Sutton,Outer London
Ealing,Outer London
Redbridge,Outer London
Brent,Outer London
Harrow,Outer London
Waltham Forest,Outer London
Havering,Outer London
Barnet,Outer London
Merton,Outer London
Hillingdon,Outer London
Bromley,Outer London
Kingston upon Thames,Outer London
Hounslow,Outer London
Barking and Dagenham,Outer London
Richmond upon Thames,Outer London
Enfield,Outer London
Croydon,Outer London
Bexley,Outer London
