osm_id,code,fclass,name_business,geometry,street_name
108539,2566,bicycle_rental,Windsor Terrace,POINT (-0.0933878000000011 51.5291251),Windsor Terrace
451152,2304,pub,King of Prussia,POINT (-0.1946078000000003 51.6008404),Dollis Park
451153,2301,restaurant,Central Restaurant,POINT (-0.1935029000000002 51.6020306),Nether Street
451154,2304,pub,The Catcher in the Rye,POINT (-0.1960280000000018 51.5995788),Regent's Park Road
451271,2304,pub,The Tally Ho,POINT (-0.1765555999999997 51.61410380000001),
12242503,2304,pub,Railway Bell,POINT (0.0279621000000004 51.5920158),Mulberry Way
15262028,2304,pub,The Monkey Puzzle,POINT (-0.169826600000001 51.5164813),
18235090,2304,pub,The Arab Boy,POINT (-0.2266974999999997 51.4628591),Upper Richmond Road
20821133,2304,pub,The Union Bar,POINT (-0.1777428000000003 51.50042340000001),Jay Mews
20849687,2303,cafe,,POINT (-0.3340173999999998 51.4110074),
20973312,2304,pub,Kings Arms,POINT (-0.2100686999999979 51.4691887),
20973316,2304,pub,The Waterside,POINT (-0.1811597999999998 51.47272610000001),
21593232,2304,pub,The Last Judgement,POINT (-0.111742800000001 51.5153316),
21593236,2304,pub,Ship Tavern,POINT (-0.1192033000000002 51.51723490000001),Gate Street
21593237,2305,bar,The Polish Bar (Na Zdrowie),POINT (-0.1189565999999987 51.5173465),Little Turnstile
21593238,2305,bar,All Bar One,POINT (-0.1193210000000005 51.51633760000001),
21686579,2304,pub,White Haus,POINT (-0.1043347999999995 51.51540289999999),Old Fleet Lane
21693791,2305,bar,The Saint,POINT (-0.0997325000000008 51.5150736),Rose Steet
25471087,2304,pub,Marquess of Anglesey,POINT (-0.1212167000000008 51.5128467),
25473538,2304,pub,The Liberty Bounds,POINT (-0.0785317999999994 51.509731),Byward Street
25474641,2203,cinema,Barbican Centre (Cinema),POINT (-0.0937555999999999 51.5197763),Lakeside Terrace
25475187,2304,pub,The Cheshire Cheese,POINT (-0.0776978 51.511416499999996),Crutched Friars
25475389,2303,cafe,Woburn Cafe,POINT (-0.1292505000000002 51.5265807),Woburn Walk
25475914,2304,pub,The Swan,POINT (-0.1227560999999994 51.52108680000001),Cosmo Place
25496840,2304,pub,26 Furnival Street,POINT (-0.1103637999999995 51.5167141),Furnival Street
25497832,2303,cafe,Cafe Angel,POINT (-0.1161125000000005 51.5247641),Gray's Inn Road
25501630,2304,pub,McGlynn's,POINT (-0.1233083999999993 51.528448799999985),
25510381,2304,pub,Crown & Cushion,POINT (-0.1139641999999999 51.49946159999999),Westminster Bridge Road
25523569,2304,pub,Shortlands Tavern,POINT (0.0034180999999989 51.40533839999999),Queen's Mead Road
25524219,2304,pub,The Railway,POINT (-0.0133037000000002 51.3803526),Red Lodge Road
25544124,2511,convenience,Tesco Express,POINT (-0.125164500000001 51.5111215),
25592547,2304,pub,The Duke of York,POINT (-0.3385051 51.50895980000001),Station Road
25597628,2304,pub,The Angelic,POINT (-0.1072883000000006 51.5347892),Liverpool Road
25641515,2544,furniture_shop,,POINT (-0.1827238000000008 51.550054999999986),Billy Fury Way
25717653,2304,pub,The Old Ale Emporium,POINT (-0.0990941000000013 51.5780132),Green Lanes
25717655,2304,pub,The Beaconsfield,POINT (-0.0987786000000002 51.57636539999999),Green Lanes
25729218,2304,pub,The Brockley Jack,POINT (-0.0385109999999984 51.4534062),
25744394,2511,convenience,Tesco Express,POINT (-0.1493587000000007 51.562077800000004),Hillway
25744422,2301,restaurant,Bold Food & Bar,POINT (-0.1406890000000002 51.5649774),
25744507,2304,pub,Aces and Eights,POINT (-0.1383959000000004 51.55665380000001),
25744530,2305,bar,The Boston Arms,POINT (-0.1384438999999998 51.55710139999999),
25744530,2305,bar,The Boston Arms,POINT (-0.1384438999999998 51.55710139999999),
25746185,2304,pub,The Cheshire Cheese,POINT (-0.1131849000000006 51.512389500000005),Milford Lane
25813308,2511,convenience,Tesco Express,POINT (-0.1333413999999995 51.54534120000001),
25813308,2511,convenience,Tesco Express,POINT (-0.1333413999999995 51.54534120000001),
25831302,2305,bar,Lockside Lounge,POINT (-0.1466138999999995 51.5410872),
25831313,2305,bar,Lock 17,POINT (-0.1457600000000007 51.5412394),Regent's Canal towpath
25962160,2568,laundry,Chris Dry Cleaners,POINT (-0.0752366999999994 51.5513131),Truman's Road
25991205,2303,cafe,Jack's Cafe,POINT (-0.0724776000000014 51.550904599999996),
26065903,2304,pub,The BlackStock,POINT (-0.1044659999999991 51.56451259999999),Blackstock Road
