Name,Year,Source,Population,Square_Kilometres,Population_per_square_kilometre
City of London,1999,ONS MYE,6581,2.9,2266.2
City of London,2000,ONS MYE,7014,2.9,2415.3
City of London,2001,ONS MYE,7359,2.9,2534.1
City of London,2002,ONS MYE,7280,2.9,2506.9
City of London,2003,ONS MYE,7115,2.9,2450.1
City of London,2004,ONS MYE,7118,2.9,2451.2
City of London,2005,ONS MYE,7131,2.9,2455.6
City of London,2006,ONS MYE,7254,2.9,2498.0
City of London,2007,ONS MYE,7607,2.9,2619.5
City of London,2008,ONS MYE,7429,2.9,2558.3
City of London,2009,ONS MYE,7472,2.9,2573.1
City of London,2010,ONS MYE,7338,2.9,2526.9
City of London,2011,GLA Population Projections,7412,2.9,2552.4
City of London,2012,GLA Population Projections,7204,2.9,2480.8
City of London,2013,GLA Population Projections,6848,2.9,2358.2
City of London,2014,GLA Population Projections,6872,2.9,2366.4
City of London,2015,GLA Population Projections,7160,2.9,2465.6
City of London,2016,GLA Population Projections,7401,2.9,2548.6
City of London,2017,GLA Population Projections,7405,2.9,2550.0
City of London,2018,GLA Population Projections,7681,2.9,2645.0
City of London,2019,GLA Population Projections,7953,2.9,2738.7
City of London,2020,GLA Population Projections,8046,2.9,2770.7
City of London,2021,GLA Population Projections,8164,2.9,2811.4
City of London,2022,GLA Population Projections,8289,2.9,2854.4
City of London,2023,GLA Population Projections,8408,2.9,2895.4
City of London,2024,GLA Population Projections,8526,2.9,2936.0
City of London,2025,GLA Population Projections,8661,2.9,2982.5
City of London,2026,GLA Population Projections,8802,2.9,3031.1
City of London,2027,GLA Population Projections,8940,2.9,3078.6
City of London,2028,GLA Population Projections,9075,2.9,3125.1
City of London,2029,GLA Population Projections,9211,2.9,3171.9
City of London,2030,GLA Population Projections,9367,2.9,3225.6
City of London,2031,GLA Population Projections,9508,2.9,3274.2
City of London,2032,GLA Population Projections,9640,2.9,3319.6
City of London,2033,GLA Population Projections,9767,2.9,3363.4
City of London,2034,GLA Population Projections,9892,2.9,3406.4
City of London,2035,GLA Population Projections,10001,2.9,3443.9
City of London,2036,GLA Population Projections,10097,2.9,3477.0
City of London,2037,GLA Population Projections,10188,2.9,3508.3
City of London,2038,GLA Population Projections,10278,2.9,3539.3
City of London,2039,GLA Population Projections,10366,2.9,3569.6
City of London,2040,GLA Population Projections,10448,2.9,3597.9
City of London,2041,GLA Population Projections,10531,2.9,3626.5
City of London,2042,GLA Population Projections,10552,2.9,3633.7
City of London,2043,GLA Population Projections,10561,2.9,3636.8
City of London,2044,GLA Population Projections,10568,2.9,3639.2
City of London,2045,GLA Population Projections,10575,2.9,3641.6
City of London,2046,GLA Population Projections,10583,2.9,3644.4
City of London,2047,GLA Population Projections,10587,2.9,3645.7
City of London,2048,GLA Population Projections,10590,2.9,3646.8
City of London,2049,GLA Population Projections,10596,2.9,3648.8
City of London,2050,GLA Population Projections,10604,2.9,3651.6
Barking and Dagenham,1999,ONS MYE,162444,36.1,4498.9
Barking and Dagenham,2000,ONS MYE,163893,36.1,4539.0
Barking and Dagenham,2001,ONS MYE,165654,36.1,4587.8
Barking and Dagenham,2002,ONS MYE,166357,36.1,4607.2
Barking and Dagenham,2003,ONS MYE,166210,36.1,4603.2
Barking and Dagenham,2004,ONS MYE,165610,36.1,4586.5
Barking and Dagenham,2005,ONS MYE,166275,36.1,4605.0
Barking and Dagenham,2006,ONS MYE,167157,36.1,4629.4
